index,Ejecución,Tiempo de ejecución (s),Iteraciones,Mejor solución,Mejor fitness,Algoritmo
33,34,43.69349956512451,249,"[array([10, 10]), array([10, 41]), array([ 8.42109669, 52.92109669]), array([ 9, 52]), array([10, 52]), array([14.17946478, 81.67946478]), array([14, 89]), array([23, 89]), array([100.        ,  92.40904036]), array([100.,  92.]), array([100. ,  90.5]), array([91.04419808, 87.04419808]), array([91.        , 87.04419808]), array([91.27151303, 87.27151303]), array([91, 88]), array([91, 89]), array([88.9544018, 89.9544018]), array([89.79998403, 89.29998403]), array([90, 90]), array([90, 90])]",186.22233918065336,GSIS
34,35,31.28695034980774,249,"[array([10, 10]), array([100,  10]), array([98.57044086, 11.57044086]), array([98, 12]), array([91.09312045, 17.09312045]), array([90.50761126, 78.00761126]), array([ 89.26123165, 100.        ]), array([87.90100727, 98.90100727]), array([86.89448065, 88.89448065]), array([86.89649828, 88.89649828]), array([91.        , 88.89649828]), array([89.5, 89.5]), array([90.33839123, 90.33839123]), array([90, 90]), array([90, 90])]",203.5575528218684,GSIS
35,36,38.82434678077698,249,"[array([10, 10]), array([11, 10]), array([11, 20]), array([30.60722289, 17.10722289]), array([ 36., 100.]), array([100.        ,  94.96095152]), array([100,  93]), array([100,  91]), array([98.84318164, 88.34318164]), array([98, 92]), array([92., 89.]), array([92, 90]), array([90, 90]), array([90.93035026, 90.93035026]), array([90, 90])]",198.40521626076324,GSIS
36,37,56.80884861946106,249,"[array([10, 10]), array([11.59440328, 10.09440328]), array([11.62361216, 10.62361216]), array([12.15726922, 11.15726922]), array([13.5, 20. ]), array([14, 20]), array([ 20.54340225, 100.        ]), array([ 23.68898701, 100.        ]), array([ 26, 100]), array([26, 98]), array([36.81339441, 98.31339441]), array([37.32171653, 97.82171653]), array([37.32171653, 93.        ]), array([44.31295772, 92.81295772]), array([44.34699818, 92.34699818]), array([46.        , 92.34699818]), array([49., 86.]), array([58. , 90.5]), array([100., 100.]), array([97., 97.]), array([95.43123779, 86.43123779]), array([93.07356724, 91.57356724]), array([92, 91]), array([90., 89.]), array([90.45488783, 89.45488783]), array([90. , 90.5]), array([90, 90]), array([90, 90])]",212.56713089191933,GSIS
37,38,36.344736099243164,249,"[array([10, 10]), array([11, 10]), array([14.42299802, 14.92299802]), array([14, 16]), array([26, 16]), array([89, 16]), array([100.        ,  72.51455062]), array([100, 100]), array([ 97.31021729, 100.        ]), array([ 94, 100]), array([89.9379645, 95.9379645]), array([89, 95]), array([90, 95]), array([91.5, 89. ]), array([90, 89]), array([89.69888197, 90.19888197]), array([90., 90.]), array([90., 90.])]",191.56644191627578,GSIS
38,39,28.340675115585327,249,"[array([10, 10]), array([ 10., 100.]), array([ 10.100931, 100.      ]), array([10, 99]), array([100.        ,  99.25521861]), array([ 98.51923468, 100.        ]), array([96.60759491, 91.10759491]), array([96, 91]), array([91, 91]), array([89.07692168, 89.07692168]), array([90.40392377, 90.40392377]), array([90., 90.]), array([90, 90]), array([90, 90])]",202.6440428250196,GSIS
39,40,52.26546597480774,249,"[array([10, 10]), array([14, 10]), array([15.02513317, 14.02513317]), array([16, 14]), array([17.56164563, 12.56164563]), array([17, 18]), array([15.92672604, 57.42672604]), array([20.        , 57.42672604]), array([21.5, 66. ]), array([22, 66]), array([20.5, 79.5]), array([23, 79]), array([27.5, 79. ]), array([100.        ,  77.60402332]), array([100,  81]), array([100.       ,  81.7265952]), array([93.7318389, 92.7318389]), array([93, 92]), array([90., 89.]), array([90. , 90.5]), array([89.76918562, 89.76918562]), array([90, 90]), array([90., 90.])]",187.24146953842856,GSIS
40,41,40.36314058303833,249,"[array([10, 10]), array([11, 10]), array([14.69557126, 10.69557126]), array([14.69557126, 12.        ]), array([16.72074687, 13.22074687]), array([16., 19.]), array([13.85481036, 28.85481036]), array([16., 40.]), array([100.,  52.]), array([100,  64]), array([99.4397813, 72.4397813]), array([100.        ,  92.35127974]), array([100,  92]), array([100,  90]), array([95, 90]), array([91, 90]), array([89.5, 90. ]), array([90.41590808, 89.91590808]), array([90.        , 89.91590808]), array([90, 90])]",175.19049782256957,GSIS
41,42,38.58213138580322,249,"[array([10, 10]), array([11.47102106, 11.47102106]), array([11, 12]), array([15.85564783, 15.35564783]), array([16.5, 18. ]), array([19. , 22.5]), array([19, 40]), array([61.65616907, 76.65616907]), array([93, 76]), array([93, 99]), array([83.        , 85.56974405]), array([83. , 92.5]), array([83., 90.]), array([95., 90.]), array([89., 90.]), array([89.65757939, 90.65757939]), array([90.1980939, 89.6980939]), array([90., 90.]), array([90, 90])]",190.7935361295675,GSIS
42,43,41.902008295059204,249,"[array([10, 10]), array([10.17136722, 10.17136722]), array([10., 76.]), array([11, 76]), array([15.75946294, 86.75946294]), array([18, 86]), array([ 22.5, 100. ]), array([ 24, 100]), array([ 28, 100]), array([100., 100.]), array([100.        ,  98.48321452]), array([100,  94]), array([98, 94]), array([95.90103836, 91.90103836]), array([95, 87]), array([86. , 88.5]), array([90.78705204, 89.78705204]), array([90, 90]), array([91, 90]), array([89.5, 90. ]), array([90., 90.])]",204.25564505487242,GSIS
43,44,50.585301637649536,249,"[array([10, 10]), array([10, 16]), array([13, 16]), array([13.51525768, 16.51525768]), array([13, 22]), array([13, 29]), array([ 20.5, 100. ]), array([ 27, 100]), array([ 28, 100]), array([29.0135089, 99.5135089]), array([29, 97]), array([71, 97]), array([71.27577494, 97.27577494]), array([83.4376943, 97.4376943]), array([87, 97]), array([87, 88]), array([87. , 89.5]), array([89.82984265, 87.32984265]), array([89.5229888, 87.5229888]), array([89, 90]), array([89.68078631, 90.68078631]), array([90.5, 90. ]), array([90, 90]), array([90, 90])]",182.40078562999506,GSIS
44,45,65.93400692939758,249,"[array([10, 10]), array([10.6138322, 10.6138322]), array([10.30757269, 13.30757269]), array([10.9426502, 13.9426502]), array([13. , 26.5]), array([13, 86]), array([14.19880516, 87.19880516]), array([18, 87]), array([19.2984251, 80.7984251]), array([19, 84]), array([19, 87]), array([25, 87]), array([26.76148108, 87.26148108]), array([31.73936969, 88.23936969]), array([34.81014174, 90.31014174]), array([37.6816381, 92.1816381]), array([43, 92]), array([65, 92]), array([ 69.5, 100. ]), array([ 88, 100]), array([ 89.86109925, 100.        ]), array([88.4270911, 99.4270911]), array([87, 99]), array([87, 97]), array([90.86845964, 94.86845964]), array([90, 88]), array([90, 89]), array([90.00051694, 90.50051694]), array([90, 90]), array([90, 90]), array([91, 90]), array([89.5, 90. ]), array([90, 90])]",190.97663943536872,GSIS
45,46,48.42677593231201,249,"[array([10, 10]), array([10.90366615, 10.90366615]), array([11.5, 11.5]), array([11. , 12.5]), array([11, 13]), array([14.20384372, 14.70384372]), array([13.30613993, 17.80613993]), array([17, 17]), array([17.29258883, 17.29258883]), array([18, 17]), array([18, 23]), array([18, 24]), array([18, 45]), array([91.94866819, 48.44866819]), array([100.       ,  76.8161499]), array([100,  90]), array([97, 90]), array([94, 90]), array([88.23187485, 90.23187485]), array([91., 90.]), array([90.03092711, 90.53092711]), array([90., 90.])]",176.4460048870249,GSIS
46,47,52.91804528236389,249,"[array([10, 10]), array([12.31520551, 12.31520551]), array([12, 13]), array([16.55500993, 11.55500993]), array([16.55500993, 13.        ]), array([16.47027326, 13.47027326]), array([16.29484337, 19.29484337]), array([16. , 23.5]), array([16, 80]), array([19.12828654, 90.62828654]), array([20.09411127, 80.59411127]), array([21.35179927, 81.35179927]), array([27, 81]), array([ 39., 100.]), array([ 46, 100]), array([ 66.2426888, 100.       ]), array([ 75, 100]), array([ 84, 100]), array([86.0252672, 96.0252672]), array([88.95212586, 95.95212586]), array([88, 95]), array([88, 88]), array([89.8422577, 91.3422577]), array([90, 91]), array([90, 90])]",193.96005696213246,GSIS
47,48,43.30438733100891,249,"[array([10, 10]), array([10.29359683, 10.29359683]), array([100.,  10.]), array([100. ,  11.5]), array([100.        ,  24.54129234]), array([100. ,  34.5]), array([100.        ,  37.11015615]), array([100.        ,  38.60364851]), array([98.35218462, 42.35218462]), array([100. ,  43.5]), array([100.,  44.]), array([97.35678201, 75.85678201]), array([94.43444995, 91.93444995]), array([94, 91]), array([94, 90]), array([90.65447273, 89.65447273]), array([90.65447273, 90.        ]), array([90, 90]), array([89.65797588, 89.65797588]), array([90.        , 89.65797588]), array([90, 90])]",180.0298247028951,GSIS
48,49,58.862892627716064,249,"[array([10, 10]), array([11.79852488, 10.29852488]), array([12.52369573, 11.52369573]), array([12, 13]), array([12, 17]), array([13.41844156, 18.41844156]), array([17.5, 19.5]), array([17. , 23.5]), array([17, 35]), array([18.5, 38. ]), array([18, 60]), array([18, 87]), array([19, 87]), array([20.1446855, 91.1446855]), array([21, 91]), array([22.10539326, 92.10539326]), array([72, 92]), array([96, 92]), array([87, 92]), array([91.45045201, 88.95045201]), array([90, 90])]",180.74325908635205,GSIS
